voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
TextGen_FB2,"Hey, how are you?",2,conv_3301m0wh4kqaewdvvh3xec86a24v,2026-08-25 13:18:16+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB2_hey-how-are-you_take2.wav,16000,1.728,1.18,2.18,0.35,0.198,-11.14,-23.0,-11.86,-12.55,lufs,False
TextGen_FB2,"Hey, how are you?",3,conv_5901m0wh4tepeqftzas3tsq8gjxx,2026-08-25 13:18:23+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB2_hey-how-are-you_take3.wav,16000,1.872,1.26,2.26,0.31,0.302,-9.18,-23.0,-13.82,-14.35,lufs,False
TextGen_FB2,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_9201m0wh2ymve77rzap1v1z8j374,2026-08-25 13:17:21+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB2_just-reading-the-instructions-i_take1.wav,16000,4.212,3.7,4.7,0.31,0.202,-18.51,-23.0,-4.49,-5.43,lufs,False
TextGen_FB2,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_3801m0wh3jpbeqnr2gsp8ewctj7k,2026-08-25 13:17:42+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB2_just-reading-the-instructions-i_take2.wav,16000,4.716,4.12,5.12,0.31,0.286,-15.97,-23.0,-7.03,-7.45,lufs,False
TextGen_FB2,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_8201m0wh3w7sfvz9rmbxnyk4b8rs,2026-08-25 13:17:52+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB2_just-reading-the-instructions-i_take3.wav,16000,4.5,3.94,4.94,0.33,0.23,-19.76,-23.0,-3.24,-5.2,lufs,False
TextGen_FB,"Hey, can you hear me?",1,conv_2101m0wtnj33exhvcjy8tzj0zta4,2026-08-25 16:04:48+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_FB_hey-can-you-hear-me_take1.wav,16000,1.656,1.3,2.3,0.13,0.226,-17.09,-23.0,-5.91,-7.98,lufs,False
TextGen_FB,"Hey, can you hear me?",2,conv_5801m0wtp04mescsaq9zh43rq71c,2026-08-25 16:05:03+00:00,response_audio,"Hey, can you hear me? [Backchannel] Yeah,...",export/voice_stimuli/TextGen_FB_hey-can-you-hear-me_take2.wav,16000,3.924,3.794,4.794,0.13,0.0,-18.07,-23.0,-4.93,-6.96,lufs,False
TextGen_FB,"Hey, can you hear me?",3,conv_7901m0wtpbeserjr5dq8dqxwnebh,2026-08-25 16:05:14+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_FB_hey-can-you-hear-me_take3.wav,16000,1.476,1.08,2.08,0.17,0.226,-14.78,-23.0,-8.22,-9.4,lufs,False
TextGen_FB,"Hey, how are you?",1,conv_3601m0wtq494f0fag3frp7w6j9gf,2026-08-25 16:05:40+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB_hey-how-are-you_take1.wav,16000,1.764,1.42,2.42,0.11,0.234,-14.0,-23.0,-9.0,-9.4,lufs,False
TextGen_FB,"Hey, how are you?",2,conv_1401m0wtqdywfpn8vknn0ea3tbdn,2026-08-25 16:05:50+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB_hey-how-are-you_take2.wav,16000,1.584,1.14,2.14,0.15,0.294,-16.21,-23.0,-6.79,-8.36,lufs,False
